------------------------------------------
Baseline:
Word Error Rate = 10.717687074829932
Known Word WER = 8.442957640976276
Unknown Word WER = 84.46316007026972
	JJ	RB	NN	VBD	VB	UH	WDT	RBS	VBP	NNS	PDT	IN	LS	VBN	RP	VBG	NNP	CD	EX	POS	VBZ	JJS	PRP	RBR	DT	NNPS	CC	FW	JJR	SYM	MD	PRP$	WP	TO	$
VB|NN	-	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.982838589981447
Known Word WER = 3.778173739254055
Unknown Word WER = 44.037408287692465
	JJ	NNS	VBP	UH	NNP	IN	RB	VB	NN	VBG	VBD	CD	RP	VBN	RBS	WDT	PRP	DT	NNPS	JJR	PDT	FW	RBR	VBZ	CC	JJS	SYM	POS	LS	WP	PRP$	TO	EX	MD	''	,
NN	6.80	0.76	0.23	0.00	5.81	0.02	0.14	0.48	-	1.21	0.10	0.38	0.01	0.20	-	-	0.05	0.01	-	0.00	0.01	0.11	-	0.05	-	-	0.00	-	0.00	-	-	0.00	-	0.01	-	0.00
VBZ	0.18	1.20	0.08	-	0.38	-	-	0.06	0.17	0.07	0.26	0.03	-	0.04	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	0.20	-	-	-	-	-	-	-	-
VBN	2.85	0.02	0.02	-	0.37	-	0.01	0.14	0.47	0.16	3.11	0.11	-	-	-	-	-	-	-	-	-	0.02	-	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-
VB	0.28	0.00	1.57	0.00	0.33	0.02	0.04	-	0.85	0.07	0.13	0.18	0.00	0.16	-	-	-	0.00	-	0.03	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.41	0.02	0.04	0.02	0.50	2.91	-	0.08	0.63	0.03	0.00	0.04	1.56	0.15	-	-	-	0.19	-	0.05	0.01	0.01	0.41	0.01	0.06	0.02	-	-	0.00	-	-	-	0.08	-	-	-
VBG	1.42	-	0.06	-	0.45	-	0.00	0.12	1.91	-	0.04	0.12	-	0.21	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-
DT	0.03	0.00	-	-	0.01	0.60	0.39	-	0.06	0.00	-	-	-	-	-	0.56	0.00	-	-	-	0.27	0.00	-	-	0.12	-	-	-	-	-	-	-	-	-	-	-
UH	0.00	-	-	-	0.05	-	0.04	-	0.01	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-
NNS	0.91	-	0.02	-	2.51	-	0.07	0.03	2.97	0.02	0.02	0.16	-	0.18	-	-	-	-	0.43	-	-	0.03	-	0.65	-	-	-	-	0.00	-	-	-	-	-	-	-
NNP	3.05	0.31	0.02	0.00	-	0.04	0.11	0.08	2.25	0.05	0.03	0.35	0.00	0.09	0.00	-	0.00	0.12	1.93	0.00	-	0.39	0.00	0.05	0.00	0.01	-	0.01	0.05	-	0.00	-	-	0.00	-	-
RP	0.00	-	-	-	0.00	0.65	0.33	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.08	0.00	-	-	0.12	0.01	0.01	2.13	0.69	0.01	0.15	0.00	-	0.08	-	-	-	-	0.00	-	-	-	-	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-
