------------------------------------------
Baseline:
Word Error Rate = 10.126858055811429
Known Word WER = 8.438872992792032
Unknown Word WER = 84.5424780286059
	WDT	JJ	RBS	NN	VB	VBP	JJR	UH	RB	POS	NNP	PDT	RBR	NNPS	LS	VBN	CD	IN	RP	EX	VBD	VBZ	VBG	DT	NNS	PRP$	FW	CC	JJS	SYM	MD	PRP	WP	NPS
IN	-	2.62	0.01	-	0.21	-	0.09	-	-	-	-	2.17	-	-	-	0.58	-	-	-	0.00	-	0.05	-	-	0.24	-	0.02	-	-	-	-	-	-	-	-
VBD	0.00	-	0.08	0.27	0.19	-	0.28	-	-	0.00	0.11	-	4.03	-	-	-	-	-	0.05	0.05	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	-	0.22	0.00	0.00	0.02	1.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	-	0.13	0.45	1.61	-	0.81	-	-	-	0.00	-	0.05	0.11	0.00	-	0.00	0.31	0.05	-	-	0.00	-	-	-	-	-	-	-	-	0.05	-	-	-	-
JJR	-	0.00	-	0.03	0.12	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	0.72	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
CC	0.05	0.13	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	0.11	0.01	-	-	-	0.05	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.03	-	-	0.02	-	-	0.02	-	-	-	-	-	-	-	0.00	-	0.00	-	0.01	0.11	-	-	-	-	0.00	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.27	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-
JJS	-	-	-	0.00	0.13	0.00	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.17	-	-
LS	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-
NNPS	-	-	-	0.19	0.06	-	1.37	-	0.00	0.00	0.00	-	0.01	-	0.00	-	-	0.35	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-
RBS	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.11	-	-	-
EX	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	0.43	-	-	-	0.01	-	-	-	-	0.00	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-
FW	0.01	-	-	0.00	0.02	-	0.12	-	0.00	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-
MD	-	0.00	-	0.00	-	-	0.03	-	-	-	-	-	-	-	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|JJR	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
$	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|IN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WP	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|VBG	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
