------------------------------------------
Baseline:
Word Error Rate = 9.96806066899525
Known Word WER = 8.415785923094221
Unknown Word WER = 84.3076923076923
	RBR	VBZ	POS	WDT	VBD	NN	NNS	VBN	RB	RP	JJ	VBP	NNPS	VB	VBG	NNP	PDT	UH	DT	RBS	LS	CD	IN	CC	EX	JJR	SYM	MD	FW	PRP$	PRP	JJS	WP	$
VBP	0.10	0.08	0.01	0.88	-	0.05	-	-	0.12	-	-	0.01	0.03	2.27	-	-	0.19	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
RBR	-	-	0.44	-	-	-	-	-	-	-	-	1.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CD	-	2.01	-	0.54	0.01	-	-	-	0.07	-	-	-	0.15	0.19	0.01	-	0.77	-	-	-	-	-	-	-	-	-	0.07	-	-	0.01	-	-	-	-
WDT	-	0.03	-	-	-	0.51	-	-	-	0.05	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-
RP	-	0.01	0.40	-	-	0.60	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	-	0.07	-	0.01	-	-	-	-	0.03	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	0.28	-	-	-	-	-	-	-	-	-
UH	-	0.01	0.01	0.03	-	-	-	-	-	-	-	-	-	0.01	-	-	0.10	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-
NNPS	-	0.10	-	0.14	-	-	-	0.05	0.01	-	-	-	0.37	-	-	-	1.34	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.01	-	-	0.01	0.01	-	-	-	-	-	-	-	-	-	0.01	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SYM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP	-	-	-	0.05	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	0.03	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-
:	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|RP	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
POS	-	-	-	-	-	-	0.22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
EX	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS|NNS	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR|RBR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-
RBS	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	-	-	-	0.01	-	-	-	-	0.03	-	-	-	-	-	-	-	0.07	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-
NNS|NN	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|CD	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|POS	-	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.462852827338808
Known Word WER = 3.61078094381445
Unknown Word WER = 45.26923076923077
	VBD	JJ	RB	NN	VBP	IN	VBZ	CD	VBN	DT	RP	JJR	NNS	VB	VBG	PDT	NNP	NNPS	CC	POS	WDT	UH	RBR	FW	RBS	PRP$	PRP	JJS	''	LS	EX	SYM	WP	MD
VBN	2.92	3.17	-	0.31	0.05	-	-	0.10	-	-	-	-	-	0.19	0.07	-	0.33	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-
NN	0.14	6.89	0.21	-	0.19	-	0.03	0.28	0.17	-	-	-	0.79	0.49	1.72	-	5.78	-	-	-	-	-	-	0.17	-	-	0.08	-	-	0.03	-	0.01	-	0.03
JJ	0.10	-	1.35	3.40	0.07	0.10	0.03	0.45	1.81	-	0.07	0.01	0.05	0.33	0.59	0.14	3.20	-	-	-	-	0.01	-	0.12	-	-	-	-	-	-	-	-	-	-
IN	-	0.07	2.74	0.01	0.01	-	-	-	-	0.63	2.15	-	-	0.01	0.03	-	0.07	-	0.05	-	0.14	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	0.01	1.33	-	1.74	0.07	-	-	0.07	0.19	-	-	-	-	0.05	-	-	0.51	-	-	-	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-
VB	0.07	0.29	0.03	1.00	2.15	0.01	0.03	0.12	0.10	-	-	0.03	-	-	0.08	-	0.35	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	-	1.09	-	0.66	0.03	3.15	-	0.01	0.14	0.22	1.81	0.08	0.03	0.08	0.07	-	0.40	-	0.05	-	-	0.05	0.37	-	-	-	-	0.01	-	-	0.08	-	-	-
VBD	-	0.21	-	0.14	0.12	-	0.03	-	4.30	-	-	-	-	0.12	0.07	-	0.44	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	0.12	0.03	0.01	-	-	-	0.01	0.01	-	-	-	-	-	-	-	0.01	-	-	-	-	-	0.79	-	-	-	-	-	-	-	-	-	-	-
NNS	0.01	0.81	0.03	2.23	0.03	-	0.66	0.14	0.24	-	-	-	-	0.08	-	-	2.02	0.61	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.10	0.01	-	0.01	-	-	-	0.07	-	-	-	-	-	0.07	0.01	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-
VBZ	0.14	0.17	-	0.19	0.12	-	-	0.05	-	-	-	-	1.33	0.03	0.03	-	0.21	-	-	0.21	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-
DT	-	0.05	0.35	0.05	-	0.72	-	-	-	-	-	-	-	-	-	0.31	0.01	-	0.12	-	0.40	-	-	-	-	-	-	-	-	0.01	-	-	-	-
NNP	0.05	2.29	0.08	1.78	-	0.01	0.01	0.19	0.07	0.21	-	0.01	0.28	0.05	0.03	-	-	2.23	-	-	-	-	-	0.08	-	0.01	-	-	-	-	-	-	-	-
VBP	0.10	0.08	0.01	0.88	-	0.05	-	-	0.12	-	-	0.01	0.03	2.27	-	-	0.19	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-
