------------------------------------------
Baseline:
Word Error Rate = 10.21233769578534
Known Word WER = 8.524753598755025
Unknown Word WER = 84.18902114052229
	RP	RB	PDT	JJ	VB	EX	CD	IN	NN	WDT	LS	VBN	VBD	VBG	VBP	NNP	VBZ	NNS	RBR	CC	UH	POS	NNPS	JJR	FW	DT	MD	RBS	JJS	PRP	WP	PRP$	SYM	NPS	TO	,
VBD|VBP	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VB	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.52371612760073
Known Word WER = 3.6283393852937365
Unknown Word WER = 43.773316752531535
	NNS	RP	CD	IN	JJ	VBD	NN	WDT	RB	VBN	VBP	NPS	FW	VB	NNP	NNPS	RBR	VBG	JJR	VBZ	DT	CC	POS	PDT	PRP	EX	RBS	UH	WP	PRP$	LS	JJS	SYM	TO	,	MD	''
VBZ	1.27	-	0.04	-	0.14	0.21	0.15	-	-	0.00	0.05	0.00	-	0.05	0.29	-	-	0.06	-	-	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	-	2.09	-	-	0.20	-	-	0.20	2.96	-	0.00	-	0.11	0.01	0.08	-	-	0.02	-	-	0.50	0.09	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.01	-	0.02	0.01	0.10	0.17	0.80	-	0.02	0.05	-	-	-	2.34	0.11	-	-	0.02	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
