------------------------------------------
Baseline:
Word Error Rate = 10.485420385955964
Known Word WER = 8.270156974669996
Unknown Word WER = 83.3342062536008
	NNS	JJ	RB	NN	VB	UH	WDT	RBS	VBP	JJR	POS	NNP	PDT	RBR	NNPS	IN	VBD	VBZ	LS	VBN	VBG	RP	CD	EX	JJS	PRP	CC	FW	DT	PRP$	SYM	MD	WP	TO	NPS	$
RB|RP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.984350003477777
Known Word WER = 3.7521979002089596
Unknown Word WER = 45.50358770229927
	JJ	NNS	VBP	UH	NNP	IN	RB	NN	JJR	NNPS	VBD	VBG	VBN	VB	CD	RP	RBS	WDT	PRP	DT	VBZ	PDT	RBR	JJS	POS	CC	SYM	PRP$	''	EX	FW	WP	TO	NPS	MD	LS	:
NN	6.79	0.79	0.17	0.11	6.08	0.01	0.15	-	0.00	0.00	0.09	1.31	0.23	0.51	0.35	0.01	-	-	0.04	0.01	0.05	0.01	0.00	-	-	0.00	0.00	-	-	-	0.04	-	0.00	0.03	0.02	0.00	-
VBZ	0.16	1.14	0.06	0.00	0.31	-	0.00	0.17	-	0.00	0.30	0.06	0.02	0.07	0.02	-	-	-	-	-	-	-	-	-	0.20	-	-	-	-	-	0.00	-	-	0.00	-	-	-
VBN	2.75	0.03	0.02	0.02	0.40	-	0.01	0.40	-	-	2.83	0.09	-	0.14	0.10	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
VB	0.27	-	1.55	0.03	0.34	0.03	0.04	0.88	0.02	-	0.10	0.05	0.19	-	0.20	0.00	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-
RB	1.48	0.02	0.03	0.03	0.57	2.88	-	0.62	0.04	-	0.02	0.02	0.17	0.08	0.04	1.66	-	0.00	-	0.13	0.00	0.04	0.40	0.00	-	0.05	-	-	-	0.07	0.00	-	-	0.00	-	-	-
VBG	1.43	0.01	0.05	0.01	0.47	-	0.00	1.87	-	-	0.05	-	0.24	0.12	0.13	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
DT	0.01	0.00	-	0.00	0.03	0.66	0.40	0.04	-	-	-	0.00	-	-	-	-	-	0.56	0.00	-	-	0.27	-	-	-	0.08	-	-	-	-	0.00	-	-	-	-	0.00	-
UH	0.00	-	-	-	0.04	-	0.03	0.01	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-
NNS	0.86	-	0.02	0.05	2.45	-	0.06	2.91	-	0.44	0.04	0.00	0.21	0.06	0.16	-	-	-	-	-	0.64	-	-	-	-	-	-	-	-	-	0.02	-	-	0.02	-	-	-
RP	0.00	-	-	-	0.00	0.63	0.40	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ	-	0.09	0.05	0.14	3.51	0.11	1.36	2.91	0.00	-	0.11	0.34	2.00	0.28	0.65	0.04	-	-	0.00	0.02	0.01	0.11	0.00	0.01	-	0.00	-	0.00	-	-	0.04	-	0.00	0.02	-	-	-
NNP	2.73	0.32	0.02	0.09	-	0.05	0.11	2.00	-	1.86	0.04	0.02	0.13	0.12	0.29	-	0.00	-	0.01	0.11	0.03	-	-	0.00	0.00	0.00	-	0.00	-	-	0.29	-	-	0.01	0.00	0.01	-
VBP	0.09	0.00	-	-	0.15	0.01	0.01	0.80	0.00	-	0.20	0.02	0.09	2.00	0.01	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	0.00	-	-	0.00	-	-	-
WDT	0.01	-	-	-	0.00	0.39	-	-	-	-	0.00	-	-	-	0.00	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-
