------------------------------------------
Baseline:
Word Error Rate = 10.071497213146262
Known Word WER = 8.380738218886735
Unknown Word WER = 84.4663553018509
	NNS	JJ	RB	NN	VB	UH	RBR	VBZ	POS	WDT	VBD	CD	IN	RP	EX	VBN	VBP	RBS	VBG	NNP	NNPS	DT	PDT	CC	PRP$	LS	FW	JJS	JJR	SYM	MD	WP	PRP	NPS
	JJ	NNS	VBP	UH	VBD	CD	IN	RP	NNP	NN	VBN	RB	PRP	NNPS	DT	PDT	VBG	PRP$	FW	RBR	VB	POS	VBZ	JJR	SYM	WDT	LS	WP	JJS	NPS	CC	MD	RBS	EX	''
NN	6.76	0.73	0.28	-	0.12	0.35	0.01	0.01	5.89	-	0.15	0.16	0.04	-	0.01	0.01	1.53	-	0.13	-	0.52	-	0.02	0.00	-	-	-	-	-	-	-	0.01	-	-	-
VBZ	0.15	1.27	0.07	-	0.23	0.01	-	-	0.36	0.17	0.00	-	-	-	-	-	0.04	-	-	-	0.02	0.17	-	-	-	-	-	-	-	0.00	-	-	-	-	-
VBN	2.91	0.01	0.03	-	2.96	0.10	-	-	0.36	0.33	-	0.01	-	-	-	-	0.10	-	0.02	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB	0.21	-	1.80	0.00	0.08	0.20	0.01	-	0.35	0.96	0.19	0.06	-	-	-	-	0.02	-	-	-	-	-	-	0.03	-	-	-	-	-	0.00	-	-	-	-	-
RB	1.38	0.03	0.01	0.04	0.02	0.04	3.00	1.85	0.59	0.61	0.10	-	-	-	0.14	0.01	0.03	-	-	0.40	0.13	-	0.00	0.05	-	-	-	-	0.05	0.00	0.03	-	-	0.02	-
VBP	0.10	0.02	-	-	0.22	0.00	0.02	-	0.11	0.76	0.11	-	-	-	-	-	0.03	-	-	-	1.98	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
RP	0.00	-	-	-	-	-	0.72	-	0.00	-	-	0.42	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	1.57	0.00	0.08	-	0.06	0.10	-	-	0.43	1.99	0.15	-	-	-	-	-	-	-	0.01	-	0.10	-	0.01	-	-	-	-	-	-	0.00	-	-	-	-	-
IN	0.16	-	0.01	-	-	0.00	-	2.44	0.05	-	-	2.68	-	-	0.58	-	0.01	-	0.05	-	0.00	-	-	-	-	0.17	-	-	-	-	-	-	-	-	-
NNS	0.90	-	0.04	0.00	0.03	0.17	-	-	2.22	2.34	0.16	0.03	-	0.56	-	-	0.01	-	0.00	-	0.05	-	0.68	-	-	-	-	-	-	0.01	-	-	-	-	-
JJ	-	0.10	0.06	0.01	0.11	0.68	0.16	0.04	3.14	2.91	2.03	1.52	-	-	0.03	0.07	0.44	0.00	0.13	0.00	0.28	-	0.02	0.02	-	-	0.01	-	0.00	0.01	-	-	-	-	-
VBD	0.19	-	0.07	-	-	0.00	-	-	0.24	0.23	3.88	-	-	-	-	-	0.04	-	0.01	-	0.18	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-
CD	1.51	0.21	0.01	-	-	-	-	-	0.89	0.52	0.04	0.00	0.05	-	-	0.00	0.02	-	-	-	0.05	-	-	-	-	-	0.03	-	-	0.01	-	-	-	-	-
DT	0.05	-	-	-	-	-	0.78	-	-	0.05	-	0.49	-	-	-	0.41	-	-	-	-	-	-	-	-	-	0.68	-	-	-	-	0.05	-	-	-	-
NNP	2.89	0.21	0.01	-	0.03	0.26	0.05	-	-	1.99	0.04	0.09	-	2.24	0.13	-	0.05	0.00	0.28	-	0.12	0.02	0.05	-	-	-	-	-	-	-	-	-	-	-	-
PRP	0.00	0.00	-	-	-	0.00	-	-	0.05	0.04	-	-	-	-	-	-	-	0.09	-	-	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-
JJR	0.12	-	0.00	-	-	-	-	-	0.05	0.03	0.02	0.00	-	-	-	-	-	-	-	0.84	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR	0.01	-	-	-	-	-	-	-	0.01	0.01	-	0.21	-	-	-	-	-	-	-	-	-	-	-	0.79	-	-	-	-	-	-	-	-	-	-	-
''	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.07	-	-	-	-	-	-	-	-	-	-	-	-	-
CC	-	0.00	-	-	-	-	0.00	-	0.00	-	-	0.16	-	-	0.10	0.03	-	-	0.00	0.03	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-
LS	0.01	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-
NNPS	0.14	0.35	-	-	-	0.01	-	-	1.20	0.10	0.01	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-
WDT	0.01	-	-	-	-	0.00	0.48	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.08	-	-	-	-	-	-	-
RBS	-	-	-	-	-	-	-	-	0.00	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.05	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
FW	0.01	-	-	-	-	-	0.01	-	0.10	0.05	0.01	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.01	0.00	-	-	-	-
POS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.29	-	-	-	-	-	-	-	-	-	-	-	0.00
WP	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
MD	0.00	0.00	-	-	0.00	-	-	-	0.05	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJS	0.10	0.00	-	-	-	-	-	-	0.01	0.02	0.01	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.26	-	-
UH	-	-	-	-	-	0.00	-	-	0.02	0.01	0.01	0.03	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-
PDT	0.01	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NNPS	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	-	-	-	-	-	-	-	-	0.00	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	-	-	-	-	-	0.01	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
)	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNS|NN	-	0.00	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
TO	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBD|VBN	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
