------------------------------------------
Baseline:
Word Error Rate = 10.660472440944883
Known Word WER = 8.456780008857985
Unknown Word WER = 83.6620626645886
	RBR	VBZ	POS	WDT	VBD	NN	NNS	JJ	PDT	IN	VB	LS	VBN	NNPS	RB	RBS	SYM	RP	VBG	VBP	PRP	DT	CC	UH	CD	FW	PRP$	NNP	EX	JJR	MD	JJS	WP	TO	$	,
VBG|NN|JJ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
``	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB|IN	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|NN	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PDT	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|VBD	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP|VBD	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBS|JJS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJ|RB	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VB|NN	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Niels' Bi-gram Tagger:
Word Error Rate = 4.9678740157480314
Known Word WER = 3.7633457875089436
Unknown Word WER = 44.87021013597033
	VBD	JJ	NNS	IN	NNPS	CD	VB	VBN	RP	NN	WDT	RB	NNP	VBG	VBP	DT	JJR	RBS	VBZ	PDT	FW	PRP	RBR	UH	LS	CC	PRP$	EX	JJS	WP	POS	TO	SYM	MD	''	,
VBN	2.86	2.67	0.03	-	-	0.11	0.13	-	-	0.37	-	0.00	0.41	0.14	0.02	-	-	-	0.01	-	0.01	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-
NNP	0.03	2.93	0.38	0.04	1.78	0.39	0.05	0.10	0.00	2.08	-	0.10	-	0.03	0.02	0.15	0.00	-	0.03	-	0.44	0.00	-	0.00	0.05	-	0.00	-	0.00	-	0.02	-	-	0.00	-	0.00
VBZ	0.21	0.13	1.00	-	0.00	0.06	0.06	0.02	-	0.20	-	-	0.36	0.06	0.08	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	0.12	-	-	-	-	-
NN	0.10	6.93	0.89	0.01	0.00	0.38	0.49	0.22	0.00	-	0.00	0.14	6.07	1.21	0.25	0.01	-	-	0.07	0.01	0.18	0.07	0.00	0.01	0.02	-	-	-	-	-	-	0.00	-	0.02	-	-
RP	-	0.00	-	0.64	-	-	-	-	-	-	-	0.32	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBP	0.12	0.09	0.00	0.02	-	0.00	2.07	0.10	-	0.75	-	0.01	0.15	0.01	-	-	-	-	0.03	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	0.01	1.49	0.04	3.02	-	0.02	0.08	0.16	1.62	0.67	-	-	0.56	0.03	0.03	0.19	0.06	0.00	0.00	0.02	0.02	-	0.38	0.09	0.00	0.04	-	0.09	0.01	-	-	-	-	-	-	-
NNS	0.01	0.84	-	-	0.46	0.14	0.04	0.17	-	2.66	-	0.06	2.42	0.03	0.03	-	-	-	0.66	-	0.05	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-
IN	0.00	0.20	-	-	-	-	0.00	-	2.06	0.01	0.17	2.36	0.06	0.01	0.00	0.46	-	-	0.00	-	0.04	-	-	-	0.00	0.05	-	-	-	-	-	0.00	0.00	-	-	-
VBG	0.03	1.44	0.01	-	-	0.12	0.16	0.22	-	2.05	-	0.00	0.45	-	0.06	-	-	-	0.03	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DT	-	0.03	-	0.63	-	-	-	-	-	0.06	0.49	0.37	0.02	0.00	0.00	-	-	-	-	0.31	-	0.00	-	-	0.00	0.14	-	-	-	-	-	-	-	-	-	-
VB	0.09	0.26	0.00	0.02	-	0.17	-	0.17	-	0.79	-	0.05	0.32	0.06	1.75	-	0.01	-	0.00	-	0.00	-	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-
JJ	0.12	-	0.16	0.13	-	0.71	0.26	1.74	0.05	2.93	-	1.28	3.44	0.42	0.06	0.01	0.01	-	0.01	0.13	0.12	0.00	0.01	-	0.01	0.00	-	-	0.00	-	-	-	-	-	-	-
VBD	-	0.20	0.00	-	-	0.02	0.17	3.99	-	0.27	-	0.00	0.33	0.07	0.16	-	-	-	0.08	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-
CD	-	1.90	0.24	-	-	-	0.11	0.08	-	0.50	-	0.00	0.94	0.03	0.00	0.00	-	-	0.00	-	-	0.09	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-
RBR	-	0.02	0.00	0.00	-	-	-	0.00	-	0.00	-	0.20	0.00	-	-	-	0.92	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-
JJS	-	0.08	-	-	-	0.00	-	0.00	-	0.03	-	0.00	0.01	-	-	-	-	0.18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
JJR	-	0.13	0.00	-	-	0.00	0.00	0.00	-	0.03	-	0.01	0.06	-	-	-	-	-	-	-	-	-	0.69	-	0.00	-	-	-	-	-	-	-	-	-	-	-
CC	-	-	0.00	0.04	-	0.00	-	-	-	-	-	0.09	0.00	-	-	0.06	0.01	-	-	0.02	0.00	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-
WDT	-	0.01	-	0.40	-	0.00	0.00	-	-	-	-	0.00	0.00	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	0.06	-	-	-	-	-	-
MD	0.00	-	0.00	-	-	-	-	-	-	0.00	-	-	0.04	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
