Word Error Rate = 9.937543814624286
Known WER = 8.355191659121873
Unknown WER = 84.72396544929997
	VB	LS	VBN	NNPS	VBD	WDT	RB	NN	RBS	PDT	RBR	VBP	POS	DT	NNS	IN	RP	CC	VBG	NNP	JJ	UH	PRP$	VBZ	EX	JJR	FW	CD	TO	PRP	JJS	MD	SYM	NPS	WP	$	,
NNPS	0	0	0.0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.05	0	0	0	0.05	0.00	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0
IN|JJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|NNS	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WDT	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.00	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0
VBD|VBP	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|VBG	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|NN	0	0	0	0	0	0	0	0.0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDT	0	0	0	0	0	0	0.0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VB|NN	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYM	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB|RP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IN|RB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|NNPS	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBG|JJ	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NN|JJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJR|RBR	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VBD|VBN	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|NN	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
JJ|IN	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NNS|NN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
,	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LS	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	0.00	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0
WRB	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0.00	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
