------------------------------------------
Baseline:
Word Error Rate = 10.666612455275603
Known Word WER = 8.452390544177128
Unknown Word WER = 83.36154904242937
	NN	WDT	JJ	RBS	VBD	VB	VBP	JJR	UH	RB	RBR	VBZ	POS	NNS	PDT	IN	LS	VBN	RP	NNPS	NNP	VBG	CC	DT	JJS	FW	CD	PRP$	EX	SYM	MD	WP	PRP	NPS	$	TO
UH	0.04	-	0.03	-	0.01	0.01	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
NNS	2.73	-	0.07	0.06	2.94	0.79	-	0.02	-	0.20	0.02	-	-	0.04	0.37	-	-	-	0.03	0.16	0.04	-	0.69	-	0.00	-	-	0.01	-	-	-	-	-	-	-	-	-
VBZ	0.31	-	-	0.07	0.14	0.15	-	0.24	1.08	0.02	0.00	-	-	0.12	0.00	-	-	-	0.09	0.02	0.00	-	-	-	-	-	-	-	0.19	-	-	-	-	-	-	-	-
VBN	0.41	-	0.01	0.14	0.35	2.73	-	3.14	0.06	-	0.01	-	-	0.02	-	-	-	-	0.11	0.09	0.02	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-
VB	0.28	0.02	0.04	-	0.84	0.26	0.03	0.10	0.00	0.14	-	0.00	-	1.56	-	0.00	-	-	0.07	0.14	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN	6.14	0.02	0.15	0.59	-	6.73	0.00	0.10	0.83	0.22	0.01	0.01	-	0.23	0.00	-	0.05	0.01	1.27	0.39	0.08	0.01	0.03	0.00	0.07	0.00	-	0.01	-	0.00	-	-	0.00	-	0.02	0.00	-
RB	0.54	3.18	-	0.10	0.60	1.52	0.05	0.00	0.02	0.14	0.00	1.49	0.00	0.05	-	0.33	-	0.19	0.02	0.03	0.04	0.02	0.00	0.02	-	-	0.07	0.00	-	-	-	-	0.04	-	-	-	-
RP	0.00	0.64	0.35	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNP	-	0.03	0.08	0.09	1.98	2.66	0.00	0.04	0.30	0.10	0.00	0.00	0.00	0.04	1.43	-	0.00	0.10	0.04	0.30	0.08	-	0.03	0.00	0.26	-	-	0.04	0.01	-	0.00	-	0.01	-	0.00	-	-
VBP	0.14	0.00	0.01	2.08	0.69	0.09	0.00	0.14	0.00	0.06	0.00	0.00	-	-	-	-	-	-	0.00	0.01	-	-	0.04	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-
WDT	0.00	0.40	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	0.02	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-
VBD	0.31	-	0.00	0.13	0.28	0.19	-	-	0.00	3.89	0.00	-	-	0.19	-	-	-	-	0.10	0.02	0.00	-	0.04	-	0.00	-	-	-	-	-	-	-	-	-	0.00	-	-
JJ	3.59	0.12	1.26	0.26	2.93	-	0.01	0.10	0.14	1.96	0.04	0.05	-	0.04	-	0.01	0.00	0.03	0.40	0.57	0.13	0.11	0.00	0.02	0.03	-	-	0.00	-	-	0.00	-	0.00	-	-	-	-
IN	0.07	-	2.44	0.00	0.01	0.18	-	0.00	0.00	-	-	1.93	-	0.00	-	-	-	0.51	0.01	0.00	-	-	-	-	0.05	0.20	-	0.00	-	0.00	-	-	0.04	-	-	-	0.00
JJS	0.01	-	0.00	-	0.03	0.11	0.00	-	-	0.00	-	-	0.20	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NNPS	1.78	-	-	-	0.17	0.09	-	0.00	0.37	0.00	0.00	-	-	-	-	-	-	-	-	0.01	0.00	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-
