------------------------------------------
Baseline:
Word Error Rate = 10.178863879632818
Known Word WER = 8.496456424857637
Unknown Word WER = 83.95250212044105
	NN	NNS	JJ	PDT	IN	CD	RP	EX	WDT	RBS	VB	RB	NNPS	UH	RBR	VBD	VBN	VBP	CC	VBG	VBZ	NNP	POS	LS	FW	DT	JJR	JJS	PRP	MD	PRP$	WP	SYM	$
$	-	-	-	-	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
.	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
NN|NNS	-	0.00	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
EX	-	-	-	-	-	-	-	-	-	-	0.03	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
LS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.02	-
VB|NN	-	-	-	-	-	-	-	-	-	-	-	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG|NN|JJ	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
WRB	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBN|JJ	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
PRP$	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RBR|JJR	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
,	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN|RB	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
------------------------------------------
Dave's Bi-gram Tagger:
Word Error Rate = 4.581093910155792
Known Word WER = 3.7145642485763806
Unknown Word WER = 42.578456318914334
	JJ	NNS	IN	VBG	CD	VBP	RP	RBS	NN	WDT	RB	VB	DT	PRP	VBN	NNP	NNPS	VBD	VBZ	FW	JJR	PDT	RBR	EX	JJS	POS	CC	MD	:	PRP$	''	NPS	WP	LS	SYM	UH
NNP	2.73	0.33	0.07	0.02	0.22	0.01	0.00	-	2.06	-	0.08	0.08	0.14	0.01	0.09	-	2.10	0.00	0.02	0.36	-	-	-	-	0.00	0.01	-	-	-	-	-	0.00	-	0.00	-	-
VBZ	0.08	1.26	-	0.02	0.04	0.07	-	-	0.20	-	-	0.06	-	-	0.00	0.25	-	0.20	-	-	-	-	-	-	-	0.12	-	-	-	-	-	-	-	-	-	-
NN	7.10	0.76	0.04	1.47	0.28	0.21	0.00	-	-	-	0.16	0.48	-	0.09	0.16	5.67	0.01	0.08	0.02	0.17	0.00	0.00	0.00	-	0.00	-	0.00	0.02	-	-	-	0.00	-	0.01	0.00	0.00
RP	-	-	0.75	-	-	-	-	-	-	-	0.39	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RB	1.46	0.04	3.17	0.00	0.00	-	1.88	-	0.61	-	-	0.12	0.15	-	0.09	0.37	-	0.00	-	0.02	0.04	0.01	0.39	0.10	0.02	-	0.02	-	-	-	-	-	-	-	-	0.04
VBP	0.07	0.00	0.00	0.01	0.03	-	-	-	0.76	-	0.01	2.36	-	-	0.09	0.09	-	0.15	0.00	-	-	-	-	-	-	-	0.00	0.00	-	-	-	0.00	-	-	-	-
VBN	3.12	0.00	-	0.08	0.09	0.00	-	-	0.37	-	0.00	0.17	-	-	-	0.28	-	3.14	0.00	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VBG	1.37	-	-	-	0.09	0.05	-	-	1.93	-	-	0.09	-	-	0.13	0.43	-	0.03	0.04	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IN	0.23	-	-	0.04	-	0.03	2.11	-	-	0.27	2.43	0.00	0.48	-	-	0.07	-	-	-	0.09	-	-	-	-	-	-	0.04	-	-	-	-	-	-	-	-	-
JJS	0.09	-	-	-	0.00	-	-	0.28	0.02	-	-	-	-	-	0.00	0.00	-	-	-	-	0.00	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
